reference,title,type,issn,part-of,url,reading-lists,eissn,doi
1293D006-A2CC-842B-2782-319ABFAC7663,The ICO and artificial intelligence: The role of fairness in the GDPR framework,article,02673649,Computer Law &amp; Security Review,http://readinglists.ucl.ac.uk/items/1293D006-A2CC-842B-2782-319ABFAC7663.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,10.1016/j.clsr.2018.01.004
130C4BDC-581F-92D9-FC55-8AD17BAEE10B,Spatial Filtering/Kernel Density Estimation,chapter,,International Encyclopedia of Human Geography,http://readinglists.ucl.ac.uk/items/130C4BDC-581F-92D9-FC55-8AD17BAEE10B.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
13CB69EE-1095-60D6-BF79-02E7740A5F23,"Living Labs: Users, Citizens and Transitions",chapter,,The experimental city,http://readinglists.ucl.ac.uk/items/13CB69EE-1095-60D6-BF79-02E7740A5F23.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
1417B821-55CE-5BC9-B5C5-F910442B0CB1,How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension,article,0036-8075,Science,http://readinglists.ucl.ac.uk/items/1417B821-55CE-5BC9-B5C5-F910442B0CB1.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1095-9203,10.1126/science.156.3775.636
1677BE0E-618A-CB95-57BA-69AB75AA4494,"Analytical study of land surface temperature with NDVI and NDBI using Landsat 8 OLI and TIRS data in Florence and Naples city, Italy",article,,European Journal of Remote Sensing,http://readinglists.ucl.ac.uk/items/1677BE0E-618A-CB95-57BA-69AB75AA4494.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,2279-7254,10.1080/22797254.2018.1474494
17429F6A-3E91-F031-A30C-3AC57217A58E,How Airbnb's Data Hid the Facts in New York City,webpage,,,http://readinglists.ucl.ac.uk/items/17429F6A-3E91-F031-A30C-3AC57217A58E.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Essential,,
17AB1A84-9320-FBEE-1960-FD7E1A442582,Foundations for Smarter Cities,article,0018-8646,IBM Journal of Research and Development,http://readinglists.ucl.ac.uk/items/17AB1A84-9320-FBEE-1960-FD7E1A442582.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,0018-8646,10.1147/JRD.2010.2048257
186BAC9D-731A-EF4C-43C4-949FF2E14BDC,Improving urban health equity through action on the social and environmental determinants of health,document,,,http://readinglists.ucl.ac.uk/items/186BAC9D-731A-EF4C-43C4-949FF2E14BDC.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
18943331-37AE-14CE-1CE7-723F3461C2FD,"Dragon-Kings, Black Swans and the Prediction of Crises",article,,International Journal of Terraspace Science and Engineering 2(1),http://readinglists.ucl.ac.uk/items/18943331-37AE-14CE-1CE7-723F3461C2FD.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
18E24DFB-429D-6228-9C56-2CAA86178B2E,Measures of Spatial Segregation,article,0081-1750,Sociological Methodology,http://readinglists.ucl.ac.uk/items/18E24DFB-429D-6228-9C56-2CAA86178B2E.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
1981A84F-2710-9154-8BE2-0ECEE880D8A3,Theses on Urbanization,article,0899-2363,Public Culture,http://readinglists.ucl.ac.uk/items/1981A84F-2710-9154-8BE2-0ECEE880D8A3.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Essential,1527-8018,10.1215/08992363-1890477
19B40D92-B51B-D005-A359-F836C9A794B8,"Regression, Linear and Nonlinear",chapter,,International Encyclopedia of Human Geography,http://readinglists.ucl.ac.uk/items/19B40D92-B51B-D005-A359-F836C9A794B8.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
1A8C20AA-592C-FCC1-BA36-2700BAC382C8,IBM's smart city as techno-utopian policy mobility,article,1360-4813,City,http://readinglists.ucl.ac.uk/items/1A8C20AA-592C-FCC1-BA36-2700BAC382C8.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,1470-3629,10.1080/13604813.2015.1016275
1AABCFCB-250B-0757-2250-745C493FBCCD,Co-Creating the Cities of the Future,article,,Sensors,http://readinglists.ucl.ac.uk/items/1AABCFCB-250B-0757-2250-745C493FBCCD.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,1424-8220,10.3390/s16111971
1B1AE1B0-A3DF-D63E-6F1C-F20FBF38EAF5,Creating Realistic Synthetic Populations at Varying Spatial Scales: A Comparative Critique of Population Synthesis Techniques,article,,Journal of Artificial Societies and Social Simulation,http://readinglists.ucl.ac.uk/items/1B1AE1B0-A3DF-D63E-6F1C-F20FBF38EAF5.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1460-7425,10.18564/jasss.1909
1B765CEB-0D8F-45EE-AE7F-C1DA8A4F95F0,"How to Lie With Maps, Chapter 10",chapter,,How to lie with maps,http://readinglists.ucl.ac.uk/items/1B765CEB-0D8F-45EE-AE7F-C1DA8A4F95F0.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
1B8CFFF3-0B2C-5A5F-9953-F1CD30BE9810,A statistical theory of spatial distribution models,article,136103,Transportation Research,http://readinglists.ucl.ac.uk/items/1B8CFFF3-0B2C-5A5F-9953-F1CD30BE9810.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,,10.1016/0041-1647(67)90035-4
1BD9B440-8821-8326-D70F-6BCD3381DA8B,Examining inclusive mobility through smartcard data: What shall we make of senior citizens' declining bus patronage in the West Midlands?,article,09666923,Journal of Transport Geography,http://readinglists.ucl.ac.uk/items/1BD9B440-8821-8326-D70F-6BCD3381DA8B.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,10.1016/j.jtrangeo.2019.102474
1C01AF96-9CF4-BC6B-9609-BD7C601DAED5,GIScience and Systems,chapter,,International Encyclopedia of Human Geography,http://readinglists.ucl.ac.uk/items/1C01AF96-9CF4-BC6B-9609-BD7C601DAED5.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,,
1C0DBB75-8D6A-FF98-BBD6-C4DF22A68F09,Using local statistics and neighbourhood classifications to portray ethnic residential segregation: a London example,article,0265-8135,Environment and Planning B: Planning and Design,http://readinglists.ucl.ac.uk/items/1C0DBB75-8D6A-FF98-BBD6-C4DF22A68F09.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1472-3417,10.1068/b36094
1DA74124-A0B3-29F9-8964-66370091C689,"R for Data Science, chapter 22",website,,,http://readinglists.ucl.ac.uk/items/1DA74124-A0B3-29F9-8964-66370091C689.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
1E19C699-56D7-4BD4-7B64-026ECAF0B6DA,How good is volunteered geographical information? A comparative study of OpenStreetMap and Ordnance Survey datasets,journal,,,http://readinglists.ucl.ac.uk/items/1E19C699-56D7-4BD4-7B64-026ECAF0B6DA.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
1EB0F3F1-B647-1DC2-9896-E5054B571750,Extracting Data from NoSQL Databases A Step towards Interactive Visual Analysis of NoSQL Data,thesis,,,http://readinglists.ucl.ac.uk/items/1EB0F3F1-B647-1DC2-9896-E5054B571750.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,,
1F2AA64C-0A91-4A73-88D1-7D5E6C3FF357,Linear Algebra by 3blue1brown,webpage,,,http://readinglists.ucl.ac.uk/items/1f2aa64c-0a91-4a73-88d1-7d5e6c3ff357.html,F337A367-A79E-5897-3521-039ADAAE58C0,,
1FF4E863-6DDC-D241-73D9-D892CEBAE7EF,A R Markdown | blogdown: Creating Websites with R Markdown - Appendix A,webpage,,,http://readinglists.ucl.ac.uk/items/1FF4E863-6DDC-D241-73D9-D892CEBAE7EF.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
203F67C4-ED1D-0653-B92D-4D7ED5CE31CA,THE SOCIO-SPATIAL DIALECTIC,article,0004-5608,Annals of the Association of American Geographers,http://readinglists.ucl.ac.uk/items/203F67C4-ED1D-0653-B92D-4D7ED5CE31CA.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Essential,1467-8306,10.1111/j.1467-8306.1980.tb01308.x
20A4B240-9202-A8C7-5003-05D7F3D92D35,Planning theories and environmental impact assessment,article,01959255,Environmental Impact Assessment Review,http://readinglists.ucl.ac.uk/items/20A4B240-9202-A8C7-5003-05D7F3D92D35.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,10.1016/S0195-9255(00)00036-6
