reference,title,type,isbn10,isbn13,url,reading-lists,doi
6584E388-05D0-7DE0-7E4B-3C5DEDEFBAE8,The census data system,book,0470846887,,http://readinglists.ucl.ac.uk/items/6584E388-05D0-7DE0-7E4B-3C5DEDEFBAE8.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
669D2563-5F34-5D88-E9DA-CE8CC6B391D3,Central place theory,book,0803923244,,http://readinglists.ucl.ac.uk/items/669D2563-5F34-5D88-E9DA-CE8CC6B391D3.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
68EA04FF-51B6-A135-F6A7-8928C2C3EC11,The new science of cities,book,,9780262019521,http://readinglists.ucl.ac.uk/items/68EA04FF-51B6-A135-F6A7-8928C2C3EC11.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,
68EDD7F4-56F9-16A4-E06A-FE8F128ABBA6,Understanding Neighbourhood Dynamics: New Insights for Neighbourhood Effects Research,book,,9789400748545,http://readinglists.ucl.ac.uk/items/68EDD7F4-56F9-16A4-E06A-FE8F128ABBA6.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
691B327D-0AFE-339B-66CD-FC859971CD6E,ggplot2: elegant graphics for data analysis,book,0387981403,9780387981406,http://readinglists.ucl.ac.uk/items/691B327D-0AFE-339B-66CD-FC859971CD6E.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
6A70A55A-669A-96B8-548A-67D6C17C9B51,The rise of the network society,book,1405196866,9781405196864,http://readinglists.ucl.ac.uk/items/6A70A55A-669A-96B8-548A-67D6C17C9B51.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
6A900409-F597-1E3C-398D-2982B21A85EF,Data manipulation with R,book,0387747303,9780387747309,http://readinglists.ucl.ac.uk/items/6A900409-F597-1E3C-398D-2982B21A85EF.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
711B0541-6462-BFBB-D30C-77C1BBF8D66E,"Geodemographics, GIS, and neighbourhood targeting",book,0470864133;0470864141,,http://readinglists.ucl.ac.uk/items/711B0541-6462-BFBB-D30C-77C1BBF8D66E.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
735165BE-9B08-BBCB-E27C-3ACAA78854E3,Data visualisation: a handbook for data driven design,book,1473912148,9781473912144,http://readinglists.ucl.ac.uk/items/735165BE-9B08-BBCB-E27C-3ACAA78854E3.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA:Essential,
74725251-095D-2108-69E5-51EF3FD4BD5F,Agent-Based Models of Geographical Systems,book,,9789048189274,http://readinglists.ucl.ac.uk/items/74725251-095D-2108-69E5-51EF3FD4BD5F.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,10.1007/978-90-481-8927-4
75B2C058-16AF-6711-BD61-51F558FBDEFA,Agent-Based Modelling in Population Studies,book,3319322834,,http://readinglists.ucl.ac.uk/items/75B2C058-16AF-6711-BD61-51F558FBDEFA.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,10.1007/978-3-319-32283-4
769D4637-ADE9-46DF-B626-7318D0679B2E,Mathematics for machine learning,book,,9781108679930;9781108470049;9781108455145,http://readinglists.ucl.ac.uk/items/769d4637-ade9-46df-b626-7318d0679b2e.html,F337A367-A79E-5897-3521-039ADAAE58C0,
79C079F4-CD8A-939B-EC17-5D620091C371,Everyware: the dawning age of ubiquitous computing,book,0321446798;0321384016,9780321446794;9780321384010,http://readinglists.ucl.ac.uk/items/79C079F4-CD8A-939B-EC17-5D620091C371.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
7A0D0BB3-BC4F-E531-9E28-ACEF84C0D915,Spatial autocorrelation,book,0860942236,,http://readinglists.ucl.ac.uk/items/7A0D0BB3-BC4F-E531-9E28-ACEF84C0D915.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
7B4298CF-40B5-802E-ADB1-3B59DCDBED73,The Data Journalism Handbook: How Journalists Can Use Data to Improve the News,book,Numbers,,http://readinglists.ucl.ac.uk/items/7B4298CF-40B5-802E-ADB1-3B59DCDBED73.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
7BD269A8-EE05-B48D-457C-AFC036AA708E,The Functional Art: An Introduction to Information Graphics and Visualization,book,978-0321834737,,http://readinglists.ucl.ac.uk/items/7BD269A8-EE05-B48D-457C-AFC036AA708E.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA:Essential,
7C50DEEA-E786-2AB5-EDDB-14B7F4B0B764,Positivism in social theory and research,book,0312631898;0312631901,,http://readinglists.ucl.ac.uk/items/7C50DEEA-E786-2AB5-EDDB-14B7F4B0B764.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
7D107981-2A1D-437D-035C-161421C37039,Sustainable Cities in Asia,book,,9781315643069,http://readinglists.ucl.ac.uk/items/7D107981-2A1D-437D-035C-161421C37039.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,10.4324/9781315643069
7DB0A7F8-41FD-5826-6AE3-C904D04FBD68,"Visualize this: the FlowingData guide to design, visualization, and statistics",book,0470944889,9780470944882,http://readinglists.ucl.ac.uk/items/7DB0A7F8-41FD-5826-6AE3-C904D04FBD68.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
823C16D3-7F37-5D52-923B-35AE39641C61,The fourth industrial revolution,book,0241300754,9780241300756,http://readinglists.ucl.ac.uk/items/823C16D3-7F37-5D52-923B-35AE39641C61.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
850610AE-C961-0FFC-3756-C6B83D77165E,Critique of information,book,,9780761952688;9780761952695;9781446217283,http://readinglists.ucl.ac.uk/items/850610AE-C961-0FFC-3756-C6B83D77165E.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
850EEE7D-0703-B03E-90AD-7731A190E49A,Practical reason: on the theory of action,book,0745616240,,http://readinglists.ucl.ac.uk/items/850EEE7D-0703-B03E-90AD-7731A190E49A.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
856189D2-0711-5A88-6A7F-9CA4DAA68C4C,Space and place: the perspective of experience,book,0816608849;0713159715,,http://readinglists.ucl.ac.uk/items/856189D2-0711-5A88-6A7F-9CA4DAA68C4C.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
85F8F2F5-86CC-1A48-4118-B93064850DEE,Principles of geographical information systems,book,0198233663;0198233655,,http://readinglists.ucl.ac.uk/items/85F8F2F5-86CC-1A48-4118-B93064850DEE.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,
87C59061-D897-BC75-D29E-9039A9DDA789,Rethinking the power of maps,book,1606237071;1593853661,9781606237076;9781593853662,http://readinglists.ucl.ac.uk/items/87C59061-D897-BC75-D29E-9039A9DDA789.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Optional,
88F2B806-AF0D-C0DB-5602-2ABB11AA56AE,The metropolis and mental life,book,0226757757,,http://readinglists.ucl.ac.uk/items/88F2B806-AF0D-C0DB-5602-2ABB11AA56AE.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Recommended,
89E0D673-BC17-B0C1-A3E2-B9F3498E7940,Edge city: life on the new frontier,book,0385424345,,http://readinglists.ucl.ac.uk/items/89E0D673-BC17-B0C1-A3E2-B9F3498E7940.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
